example_id                                                     | status | run_time        |
./spec/auto_doc/utils/file_tree_builder_spec.rb[1:1:1]         | passed | 0.00075 seconds |
./spec/auto_doc/utils/file_tree_builder_spec.rb[1:1:2]         | passed | 0.00036 seconds |
./spec/auto_doc/utils/file_tree_builder_spec.rb[1:1:3]         | passed | 0.00056 seconds |
./spec/auto_doc/utils/file_tree_builder_spec.rb[1:1:4]         | passed | 0.0007 seconds  |
./spec/auto_doc/utils/file_tree_builder_spec.rb[1:1:5]         | passed | 0.00048 seconds |
./spec/auto_doc/utils/file_tree_builder_spec.rb[1:1:6]         | passed | 0.00039 seconds |
./spec/auto_doc/utils/yaml_config_loader_spec.rb[1:1:1]        | passed | 0.00062 seconds |
./spec/auto_doc/utils/yaml_config_loader_spec.rb[1:1:2]        | passed | 0.00027 seconds |
./spec/auto_doc/utils/yaml_config_loader_spec.rb[1:1:3]        | passed | 0.00031 seconds |
./spec/auto_doc/utils/yaml_config_loader_spec.rb[1:1:4]        | passed | 0.00063 seconds |
./spec/auto_doc/utils/yaml_config_loader_spec.rb[1:1:5]        | passed | 0.00059 seconds |
./spec/auto_doc_spec.rb[1:1]                                   | passed | 0.00011 seconds |
./spec/auto_doc_spec.rb[1:2]                                   | passed | 0.00008 seconds |
./spec/auto_doc_spec.rb[1:3]                                   | passed | 0.00007 seconds |
./spec/auto_doc_spec.rb[1:4]                                   | passed | 0.00007 seconds |
./spec/auto_doc_spec.rb[1:5]                                   | passed | 0.00007 seconds |
./spec/auto_doc_spec.rb[1:6]                                   | passed | 0.00006 seconds |
./spec/auto_doc_spec.rb[1:7]                                   | passed | 0.00007 seconds |
./spec/e2e/self_test_spec.rb[1:1]                              | passed | 0.45091 seconds |
./spec/e2e/self_test_spec.rb[1:2]                              | passed | 0.00037 seconds |
./spec/e2e/self_test_spec.rb[1:3]                              | passed | 0.00009 seconds |
./spec/e2e/self_test_spec.rb[1:4]                              | passed | 0.00098 seconds |
./spec/e2e/self_test_spec.rb[1:5]                              | passed | 0.45874 seconds |
./spec/e2e/self_test_spec.rb[1:6]                              | passed | 0.00012 seconds |
./spec/e2e/self_test_spec.rb[1:7]                              | passed | 0.00017 seconds |
./spec/e2e/self_test_spec.rb[1:8]                              | passed | 0.43015 seconds |
./spec/e2e/self_test_spec.rb[1:9]                              | passed | 0.39888 seconds |
